ID,surveyID,ID2015,GroupID,RA,Dec,z,StellarMass,tag,CC
0,-1,925714,0,      149.65384,        2.70290,        0.41880,       10.07590,1,       -1.00000
1,-1,925376,1,      150.03592,        2.70286,        0.41130,        9.84232,1,       -1.00000
2,-1,925261,2,      150.14777,        2.70220,        0.33930,       10.30410,1,       -1.00000
3,-1,925224,3,      150.03909,        2.70281,        0.69710,       10.00160,1,       -1.00000
4,-1,924956,4,      150.04720,        2.70201,        0.48410,        9.37323,1,       -1.00000
5,-1,924883,5,      149.66329,        2.70287,        0.84350,       10.85000,1,       -1.00000
6,-1,924870,6,      150.11385,        2.70199,        0.73120,       11.05070,1,       -1.00000
7,-1,924702,7,      149.66407,        2.70233,        0.82480,       10.70020,1,       -1.00000
8,-1,924599,8,      150.08958,        2.70283,        0.32840,        9.57998,1,       -1.00000
9,-1,924469,9,      150.48798,        2.70218,        0.65880,       10.50190,1,       -1.00000
10,-1,924343,10,      150.13824,        2.70153,        0.74460,       10.36520,1,       -1.00000
11,-1,924064,11,      150.16582,        2.70232,        0.85600,       10.55920,1,       -1.00000
12,-1,923504,12,      149.86406,        2.69999,        0.92610,       10.80670,1,       -1.00000
13,-1,923400,13,      150.56649,        2.70073,        0.61300,        9.82349,1,       -1.00000
14,-1,922881,14,      150.28471,        2.69950,        0.61460,       10.43550,1,       -1.00000
15,-1,922840,15,      149.62517,        2.70022,        0.32520,       10.05770,1,       -1.00000
16,-1,922551,16,      150.07899,        2.69983,        0.61950,        9.40207,1,       -1.00000
17,-1,922358,17,      150.43579,        2.69733,        0.96420,       11.22020,1,       -1.00000
18,-1,922333,18,      150.12745,        2.69667,        0.53280,        9.62002,1,       -1.00000
19,-1,922180,19,      149.78883,        2.69823,        0.26460,        9.16188,1,       -1.00000
20,-1,922179,20,      150.59058,        2.69852,        0.62280,       10.58940,1,       -1.00000
21,-1,922172,21,      150.04854,        2.69899,        0.68360,       10.74990,1,       -1.00000
22,-1,922080,22,      150.11294,        2.69810,        0.40160,       10.55010,1,       -1.00000
23,-1,921814,23,      150.08046,        2.69839,        0.84120,       10.41240,1,       -1.00000
24,-1,921806,24,      150.15552,        2.69688,        0.44010,        9.14395,1,       -1.00000
25,-1,921675,25,      150.05314,        2.69819,        0.43020,        9.09240,1,       -1.00000
26,-1,921646,26,      150.18420,        2.69745,        0.32000,        9.99877,1,       -1.00000
27,-1,921641,27,      150.16620,        2.69698,        0.52750,       10.32680,1,       -1.00000
28,-1,921626,28,      149.98867,        2.69622,        0.24900,       10.00010,1,       -1.00000
29,-1,921451,29,      149.79666,        2.69570,        0.99970,       10.57040,1,       -1.00000
30,-1,921044,30,      149.90945,        2.69681,        0.40420,        9.53638,1,       -1.00000
31,-1,920682,31,      149.91830,        2.69596,        0.37000,        8.95702,1,       -1.00000
32,-1,919798,32,      150.36273,        2.69544,        0.25010,        9.33028,1,       -1.00000
33,-1,919650,33,      150.17235,        2.69483,        0.33000,        9.71546,1,       -1.00000
34,-1,919605,34,      150.05799,        2.69343,        0.71280,       10.74950,1,       -1.00000
35,-1,919506,35,      150.01908,        2.69501,        0.56930,        9.67498,1,       -1.00000
36,-1,919043,36,      150.15777,        2.69226,        0.43930,       10.57830,1,       -1.00000
37,-1,919038,37,      150.57416,        2.69201,        0.80860,       10.94900,1,       -1.00000
38,-1,919002,38,      150.45001,        2.69434,        0.52520,       10.33420,1,       -1.00000
39,-1,918982,39,      149.94574,        2.69348,        0.50790,       10.74650,1,       -1.00000
40,-1,918951,40,      150.01183,        2.69452,        0.73080,       10.50010,1,       -1.00000
41,-1,918923,41,      149.95844,        2.69378,        0.53020,        9.99642,1,       -1.00000
42,-1,918738,42,      150.29799,        2.69285,        0.36510,        9.42818,1,       -1.00000
43,-1,918377,43,      150.15634,        2.69214,        0.75840,       10.45370,1,       -1.00000
44,-1,918250,44,      149.81397,        2.69325,        0.43340,        9.64982,1,       -1.00000
45,-1,918245,45,      150.16236,        2.69343,        0.72670,       10.29600,1,       -1.00000
46,-1,918233,46,      149.76541,        2.69310,        0.64250,        9.91467,1,       -1.00000
47,-1,918080,47,      149.85065,        2.69193,        0.95600,       11.15000,1,       -1.00000
48,-1,917812,48,      150.17921,        2.69005,        0.72050,       11.10000,1,       -1.00000
49,-1,917804,49,      149.79089,        2.69139,        0.45970,       10.70060,1,       -1.00000
50,-1,917701,50,      150.54130,        2.69203,        0.49370,        9.60391,1,       -1.00000
51,-1,917694,51,      149.86912,        2.69174,        0.18690,        8.81506,1,       -1.00000
52,-1,917600,52,      150.02929,        2.69014,        0.73570,       11.09420,1,       -1.00000
53,-1,917592,53,      150.11388,        2.69144,        0.77550,        9.71583,1,       -1.00000
54,-1,917544,54,      149.82885,        2.69001,        0.69790,       11.10780,1,       -1.00000
55,-1,917369,55,      150.02551,        2.69146,        0.62520,        9.95132,1,       -1.00000
56,-1,917215,56,      150.16250,        2.69287,        0.62550,        9.89999,1,       -1.00000
57,-1,917209,57,      149.79408,        2.69156,        0.27010,        9.62179,1,       -1.00000
58,-1,917042,58,      150.13017,        2.69080,        0.42580,       10.19610,1,       -1.00000
59,-1,916865,59,      149.84397,        2.69253,        0.94240,        9.82184,1,       -1.00000
60,-1,916714,60,      150.05406,        2.69091,        0.97600,       10.10670,1,       -1.00000
61,-1,916709,61,      150.17180,        2.69038,        0.95370,       10.79100,1,       -1.00000
62,-1,916507,62,      150.11891,        2.69052,        0.68760,       10.12140,1,       -1.00000
63,-1,916311,63,      149.84448,        2.69260,        0.93100,        9.31103,1,       -1.00000
64,-1,916307,64,      150.16691,        2.68972,        0.98900,       11.13750,1,       -1.00000
65,-1,916174,65,      150.33447,        2.69086,        0.82660,       10.33410,1,       -1.00000
66,-1,916060,66,      150.32378,        2.68982,        0.98930,       10.98300,1,       -1.00000
67,-1,915973,67,      150.30060,        2.69050,        0.85940,        9.75908,1,       -1.00000
68,-1,915913,68,      150.55716,        2.68855,        0.88060,       10.10820,1,       -1.00000
69,-1,915732,69,      150.05217,        2.68921,        0.41050,        9.01308,1,       -1.00000
70,-1,915649,70,      150.11848,        2.68650,        0.12940,        8.90110,1,       -1.00000
71,-1,915590,71,      150.54223,        2.68779,        0.71330,       10.54770,1,       -1.00000
72,-1,915308,72,      150.02813,        2.68934,        0.64890,       10.32490,1,       -1.00000
73,-1,915241,73,      150.16299,        2.68872,        0.50820,       10.00760,1,       -1.00000
74,-1,915155,74,      149.97620,        2.68911,        0.73230,        9.78106,1,       -1.00000
75,-1,915008,75,      150.55597,        2.68795,        0.93110,       10.38460,1,       -1.00000
76,-1,914892,76,      149.78685,        2.68674,        0.70040,       10.22420,1,       -1.00000
77,-1,914800,77,      150.40820,        2.68820,        0.80850,        9.82303,1,       -1.00000
78,-1,914748,78,      150.60137,        2.68760,        0.80010,       10.64220,1,       -1.00000
79,-1,914720,79,      149.96041,        2.68637,        0.46950,        9.84383,1,       -1.00000
80,-1,914486,80,      149.81886,        2.68769,        0.45890,        9.80095,1,       -1.00000
81,-1,914372,81,      150.10657,        2.68675,        0.33020,       10.94970,1,       -1.00000
82,-1,914106,82,      150.29762,        2.68710,        0.40670,        9.10198,1,       -1.00000
83,-1,914037,83,      149.97878,        2.68792,        0.66020,        9.46014,1,       -1.00000
84,-1,913934,84,      149.92897,        2.68680,        0.44270,        9.06258,1,       -1.00000
85,-1,913920,85,      150.50441,        2.68672,        0.77720,        9.85920,1,       -1.00000
86,-1,913333,86,      150.53630,        2.68307,        0.23000,        9.79882,1,       -1.00000
87,-1,912969,87,      150.58979,        2.68454,        0.84170,       10.72010,1,       -1.00000
88,-1,912708,88,      150.07927,        2.68254,        0.81510,       11.20000,1,       -1.00000
89,-1,912241,89,      150.54468,        2.68332,        0.20400,        8.81290,1,       -1.00000
90,-1,912075,90,      150.16448,        2.68205,        0.25000,        9.97888,1,       -1.00000
91,-1,911967,91,      150.21999,        2.68360,        0.32010,        9.60805,1,       -1.00000
92,-1,911827,92,      149.91141,        2.68277,        0.86920,       11.15000,1,       -1.00000
93,-1,911550,93,      149.69041,        2.68004,        0.53550,       10.55000,1,       -1.00000
94,-1,911187,94,      149.74501,        2.67978,        0.87010,       11.20410,1,       -1.00000
95,-1,911163,95,      150.53999,        2.68283,        0.63730,       10.30470,1,       -1.00000
96,-1,911004,96,      149.73260,        2.67950,        0.48040,       10.95310,1,       -1.00000
