GroupID,cenID,cenID2015,RA_avg,Dec_avg,z_avg,HaloMass,GroupTag,Richness
0,0,925714,      149.65384,        2.70290,        0.41880,       11.68903,2,1
1,1,925376,      150.03592,        2.70286,        0.41130,       11.56637,2,1
2,2,925261,      150.14777,        2.70220,        0.33930,       11.84173,2,1
3,3,925224,      150.03909,        2.70281,        0.69710,       11.65820,2,1
4,4,924956,      150.04720,        2.70201,        0.48410,       11.41623,2,1
5,5,924883,      149.66329,        2.70287,        0.84350,       12.34957,2,1
6,6,924870,      150.11385,        2.70199,        0.73120,       12.52329,2,1
7,7,924702,      149.66407,        2.70233,        0.82480,       12.16824,2,1
8,8,924599,      150.08958,        2.70283,        0.32840,       11.41901,2,1
9,9,924469,      150.48798,        2.70218,        0.65880,       11.96887,2,1
10,10,924343,      150.13824,        2.70153,        0.74460,       11.99229,2,1
11,11,924064,      150.16582,        2.70232,        0.85600,       12.05601,2,1
12,12,923504,      149.86406,        2.69999,        0.92610,       12.24869,2,1
13,13,923400,      150.56649,        2.70073,        0.61300,       11.58605,2,1
14,14,922881,      150.28471,        2.69950,        0.61460,       11.91996,2,1
15,15,922840,      149.62517,        2.70022,        0.32520,       11.68203,2,1
16,16,922551,      150.07899,        2.69983,        0.61950,       11.38613,2,1
17,17,922358,      150.43579,        2.69733,        0.96420,       12.77819,2,1
18,18,922333,      150.12745,        2.69667,        0.53280,       11.45534,2,1
19,19,922180,      149.78883,        2.69823,        0.26460,       11.29185,2,1
20,20,922179,      150.59058,        2.69852,        0.62280,       12.01157,2,1
21,21,922172,      150.04854,        2.69899,        0.68360,       12.16505,2,1
22,22,922080,      150.11294,        2.69810,        0.40160,       11.95532,2,1
23,23,921814,      150.08046,        2.69839,        0.84120,       11.99679,2,1
24,24,921806,      150.15552,        2.69688,        0.44010,       11.21672,2,1
25,25,921675,      150.05314,        2.69819,        0.43020,       11.20953,2,1
26,26,921646,      150.18420,        2.69745,        0.32000,       11.65668,2,1
27,27,921641,      150.16620,        2.69698,        0.52750,       11.86127,2,1
28,28,921626,      149.98867,        2.69622,        0.24900,       11.63248,2,1
29,29,921451,      149.79666,        2.69570,        0.99970,       12.43294,2,1
30,30,921044,      149.90945,        2.69681,        0.40420,       11.44758,2,1
31,31,920682,      149.91830,        2.69596,        0.37000,       11.13739,2,1
32,32,919798,      150.36273,        2.69544,        0.25010,       11.32644,2,1
33,33,919650,      150.17235,        2.69483,        0.33000,       11.47568,2,1
34,34,919605,      150.05799,        2.69343,        0.71280,       12.12591,2,1
35,35,919506,      150.01908,        2.69501,        0.56930,       11.52795,2,1
36,36,919043,      150.15777,        2.69226,        0.43930,       12.07300,2,1
37,37,919038,      150.57416,        2.69201,        0.80860,       12.35793,2,1
38,38,919002,      150.45001,        2.69434,        0.52520,       11.84710,2,1
39,39,918982,      149.94574,        2.69348,        0.50790,       12.18345,2,1
40,40,918951,      150.01183,        2.69452,        0.73080,       11.99087,2,1
